created_at,id_str,full_text,lang,location
2023-11-01,1719861119576330630,bennyharmanid maaf bukankah partai demokrat dulu yg mengolkan,in,
2023-11-01,1719860019230093712,survey suara partai di jatim 1 pdip 17 8 2 pkb 15 2 3 gerindra 15 1 4 golkar 14 1 5 demokrat 10 1 6 nasdem 5 9 7 pks 5 2 8 pan 4 5 9 pp 4 1 10 psi 1 8 11 perindo 1 4 12 hanura 0 5,in,Indonesia 
2023-11-01,1719852446250594776,serap aspirasi masyarakat demokrat komitmen perjuangkan perubahan dan perbaikan demokrat demokratjatim demokratlumajang demokrats14p demokrat14 demokratsolid demokratbersamarakyat demokratpeduliberisolusi bakomstrademokrat bakomstrajatim bakomstralumajang,in,
2023-11-01,1719840962472808891,paltiwest santai sj pak rk itu golkar katanya nggak akan ambil kader partai lain kok beda bu khofifah itu jg gubernur diajukan demokrat dan golkar jg krn ngalahin jagoannya pdip mau di rekrut jg gembor2 nya selama ini kaderisasinya mana,in,"Jakarta, Indonesia"
2023-11-01,1719835665721151498,geloraco bukan hanya dia tp yg dr partai demokrat tuh slalu pake war buat cari cuan,in,Unknown
2023-11-01,1719829908715958782,partai sebesar demokrat kenapa gak nyalonin capres sendiri aku heran tapi ini indonesia sistemnya sudah kuno,in,"Kota Surabaya, Jawa Timur"
2023-11-02,1720229161632166313,ps_presiden2024 rara29803002 mpoklela7 minietweets_ nomeycan tjitrosoenarjo1 alextham878 andreassolusi alie_fahnoor b_hendratmo1 bengkeldodo apa ada konstitusi yg ditabrak koq nalar ga dipake ga ada ubahnya spt demokrat dan partai lainnya retak nalar ditunjukkan koq bangga,in,"Grindelwald, Switzerland"
2023-11-02,1720225261629952491,bennyharmanid partai demokrat adalah partai dinasti tahun 2019 seorang tgb di deklarasi oleh masyarakat di beberapa wilayah tanpa biaya apapun tetap saja tidak di gubris oleh kakek sby,in,
2023-11-02,1720224448639562127,awemany masih ada yang waras di partai demokrat dulu waktu masih di koalisi lama padahal simpati rakyat tinggi sekali sama pd sayang semuanya hancur karena emosi jiwa,in,
2023-11-02,1720222910521266460,ajengcute16__ semoga partai demokrat tidak lolos ke parlemen terlanjur kecewa,in,
2023-11-02,1720221619187253433,kompascom wlwkw partai ini menyusul pdip demokrat yang bakalan nyungsep,in,samarinda
2023-11-02,1720221256434507923,ricky_kch partai mencla mencle semoga aja demokrat ga lolos ke parlemen aamiin,in,
2023-11-02,1720217068828819866,freak60293 cryptoholderr yradianto kamu tdk ngalamin 1997 1998 199 ya 2004 demokrat masih partai gurem 2009 demokrat menang karena ketua umumnya berkuasa 2014 nyungsep jadi gurem lagi karena korupsi masif pdi perjuangan selalu di 3 besar ada jokowi maupun tdk ada jokowi,in,Denpasar Bali
2023-11-02,1720211266030219751,ronnie_rusli satu satunya yg bisa mempersatukan partai republik dan partai demokrat adalah dukungan tanpa batas dan syarat untuk israel karena lobby israel disana menjadi sponsor utama bagi calon dari kedua partai,in,
2023-11-02,1720210633369809233,bianca01403 jadi terpikir deal deal demokrat sama pemerintah untuk menjegal anies apa ada bargaining agar tu partai aman dari begal,in,"dumai, indonesia"
2023-11-02,1720208400984977780,satriohendri jokowi nggak bakal bisa dimakzulkan nggak cukup suaranya mau mengharapkan suara dari fraksi partai demokrat tak mungkin partai demokrat itu kan partai kerbau yang dicucuk hidungnya di samping itu juga sudah se kolam dan se kasur dengan presiden jokowi,in,
2023-11-02,1720197699037966634,bennyharmanid apa artinya sebagai fadli zon nya demokrat kalau partai dan ketumnya sdh gandeng renteng ke rejim berkuasa,in,
2023-11-02,1720167107915350077,agusyudhoyono terima kasih kader2 partai demokrat yang selalu terdepan memberikan bantuan utk masyarakat,in,
2023-11-02,1720157955788771471,panca66 tan_mar3m mirvandarwin1 rheinaherlina kata siapa saya semenjaka partai demokrat berdi saya selalu pilih tapi sekarang by demokrat,in,"Tangerang, Banten"
2023-11-02,1720145254496764355,mbd maju bersama demokrat saya amarman warga asahan sumatera utara tujuan pdemokrat dan akan tegak lurus setia pada demokrat akan selalu berusaha menghidupkan partai demokrat walaupun sudah habis pemilu 2024 untuk itu saya mohon arahan dan bimbingannya pak agusyudhoyono,in,
2023-11-02,1720142799235150193,rocky gerung sebut keputusan partai demokrat dukung prabowo buat jokowi cemas bakal ada perubahan prabowo menatamasadepan bersamaprabowo,in,Jakarta Capital Region
2023-11-03,1720591120626045296,ajengcute16__ partai demokrat bisa anjlok ni gara2 ajeng ini tiba2 jd penjilat penguasa,in,
2023-11-03,1720587171948855470,temanpemilih kamu perlu tahu inilah profil bakal paslon presiden dan wakil presiden pemilu 2024 h prabowo subianto dan gibran rakabuming raka yang diusulkan oleh partai gerindra partai golkar partai demokrat pan psi pbb dan partai garuda selengkapnya scan barcode ini ya,in,"Sampang, Indonesia"
2023-11-03,1720584371101704391,para ketum partai yg tergabung dalam koalisi prabowo gibran golkar pan demokrat beberapa partai non parlemen ada masanya kalian akan menyesal dng keputusan buruk ini,in,Jakarta Capital Region
2023-11-03,1720582597938725240,selamat untuk partai demokrat akhirnya kubu muldoko bergabung dgn kubu sby ahy mendukung gibran cc bennyharmanid panca66 agusyudhoyono,in,"Bali, Indonesia"
2023-11-03,1720579673464414523,harunmisiku awemany gimana ceritanya dukung jokowi sampe detik ini demokrat masih oposisi tahun depan pemilu gabungnya koalisi gerindra yang ga ada pdip emang partai jokowi gerindra,in,
2023-11-03,1720578453093896390,simbok_dharmi bu khofifahip itu naik jadi gubernur jatim berkat demokrat masak dia lupa asal nya demokrat kan masuk ke prabowo gibran saya kira beliau netral atau ikuti arahan partai pengusung nya,in,Sby
2023-11-03,1720576958998950140,verraagustian_ achsanul qosasih jika benar dulu kader partai demokrat sdh enak jd pejabat di bpk malah turut bersama merampok uang rakyat,in,
2023-11-03,1720575782035296316,krmtroysuryo1 rahmaniarbaftim tapi partai demokrat dukung loh,in,
2023-11-03,1720573289490452561,koalisi mantap didukung 2 partai demokrat bukan begitu pdemokrat,in,pedalaman
2023-11-03,1720562960647758297,senopurnomo71 paltiwest partai demokrat sby bikin aturan threshold 20 pada tahun 2009 supaya mereka saja yg bisa sendiri mengusung presiden paham,in,Indonesia
2023-11-03,1720561193923060204,ahy akan pimpin deklarasi demokrat dukung prabowo 7 pentolan partai kim siap hadir g_i agusyudhoyono pdemokrat demokrat 2024,in,
2023-11-03,1720561182661300735,prabowo dapat dukungan dari partai demokrat di pilpres 2024 aq pdemokrat agusyudhoyono demokrat 2024,in,
2023-11-03,1720561160972583041,mars partai demokrat bergema di kediaman bacapres prabowo subianto serdadu ahy s14p all out di pilpres dan pileg 2024 erm pdemokrat agusyudhoyono demokrat 2024,in,
2023-11-03,1720561095491084349,mas ahy dan partai demokrat konsisten memperjuangkan agenda agenda perubahan dan perbaikan ys pdemokrat agusyudhoyono demokrat 2024,in,
2023-11-03,1720561016336154809,ahy ajak seluruh kader partai demokrat menangkan prabowo di pilpres 2024 gfc agusyudhoyono pdemokrat demokrat 2024,in,
2023-11-03,1720561005556851140,ahy prabowo terima konsep perubahan partai demokrat _ck pdemokrat agusyudhoyono demokrat 2024,in,
2023-11-03,1720560993858924913,ahy meminta kepada seluruh kader panaskan mesin partai untuk memenangkan prabowo pada pilpres 2024 nh_ agusyudhoyono pdemokrat demokrat 2024,in,
2023-11-03,1720560982840561992,prabowo dapat dukungan dari partai demokrat di pilpres 2024 ketum ahy titipkan agenda perubahan perbaikan khw pdemokrat agusyudhoyono demokrat 2024,in,
2023-11-03,1720560936992583962,ahy ajak seluruh kader partai demokrat menangkan prabowo di pilpres 2024 cyl pdemokrat agusyudhoyono demokrat 2024,in,
2023-11-03,1720560819254218879,partai demokrat resmi mendukung prabowo subianto sebagai calon presiden 2024 ketum demokrat ahy mengeluarkan instruksi untuk para kader demokrat yco pdemokrat agusyudhoyono demokrat 2024,in,
2023-11-03,1720560806579040716,ketum partai demokrat agus harimurti yudhoyono ahy meminta para kadernya untuk memenangkan bacapres koalisi indonesia maju kim prabowo subianto tgw agusyudhoyono pdemokrat demokrat 2024,in,
2023-11-03,1720560781576823112,ahy ajak seluruh kader partai demokrat menangkan prabowo di pilpres 2024 yzs pdemokrat agusyudhoyono demokrat 2024,in,
2023-11-03,1720560759669944387,ahy prabowo terima konsep perubahan partai demokrat _yp agusyudhoyono pdemokrat demokrat 2024,in,
2023-11-03,1720560553503117795,ahy ajak seluruh kader partai demokrat menangkan prabowo di pilpres 2024 n l agusyudhoyono pdemokrat demokrat 2024,in,
2023-11-03,1720560345583161472,partai demokrat prabowo bersama presiden ke 6 dan ke 7 bisa jadi presiden ke 8 ynq agusyudhoyono pdemokrat demokrat 2024,in,
2023-11-03,1720560000530333800,ahy akan pimpin deklarasi demokrat dukung prabowo 7 pentolan partai kim siap hadir g_i agusyudhoyono pdemokrat demokrat 2024,in,
2023-11-03,1720559988354187628,prabowo dapat dukungan dari partai demokrat di pilpres 2024 aq pdemokrat agusyudhoyono demokrat 2024,in,
2023-11-03,1720559964870308344,mars partai demokrat bergema di kediaman bacapres prabowo subianto serdadu ahy s14p all out di pilpres dan pileg 2024 erm pdemokrat agusyudhoyono demokrat 2024,in,
2023-11-03,1720559898621349990,mas ahy dan partai demokrat konsisten memperjuangkan agenda agenda perubahan dan perbaikan ys pdemokrat agusyudhoyono demokrat 2024,in,
