created_at,id_str,full_text,lang,location
2023-11-01,1719861119576330630,bennyharmanid maaf partai demokrat kol,in,
2023-11-01,1719860019230093712,survey suara partai jatim 1 pdip 17 8 2 pkb 15 2 3 gerindra 15 1 4 golkar 14 1 5 demokrat 10 1 6 nasdem 5 9 7 pks 5 2 8 pan 4 5 9 pulang pergi 4 1 10 psi 1 8 11 perindo 1 4 12 hanura 0 5,in,Indonesia 
2023-11-01,1719852446250594776,serap aspirasi masyarakat demokrat komitmen juang ubah baik demokrat demokratjatim demokratlumajang demokrats14p demokrat14 demokratsolid demokratbersamarakyat demokratpeduliberisolusi bakomstrademokrat bakomstrajatim bakomstralumajang,in,
2023-11-01,1719840962472808891,paltiwest santai rk golkar ambil kader partai beda bu khofifah gubernur aju demokrat golkar ngalahin jago pdip rekrut gembor2 nya kaderisasi,in,"Jakarta, Indonesia"
2023-11-01,1719835665721151498,geloraco dr partai demokrat tuh slalu pakai war cari cuan,in,Unknown
2023-11-01,1719829908715958782,partai demokrat gak nyalonin capres heran indonesia sistem kuno,in,"Kota Surabaya, Jawa Timur"
2023-11-02,1720229161632166313,ps presiden2024 rara29803002 mpoklela7 minietweets nomeycan tjitrosoenarjo1 alextham878 andreassolusi alie fahnoor b hendratmo1 bengkeldodo konstitusi tabrak nalar ga dipake ga ubah demokrat partai retak nalar bangga,in,"Grindelwald, Switzerland"
2023-11-02,1720225261629952491,bennyharmanid partai demokrat partai dinasti 2019 tgb deklarasi masyarakat wilayah biaya apa gubris kakek sby,in,
2023-11-02,1720224448639562127,awemany waras partai demokrat koalisi simpati rakyat sayang hancur emosi jiwa,in,
2023-11-02,1720222910521266460,ajengcute16 moga partai demokrat lolos parlemen lanjur kecewa,in,
2023-11-02,1720221619187253433,kompascom wlwkw partai susul pdip demokrat nyungsep,in,samarinda
2023-11-02,1720221256434507923,ricky kch partai mencla mencle moga demokrat ga lolos parlemen aamiin,in,
