created_at,id_str,full_text,lang,location
2023-11-01,1719645824047788466,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719637674661912853,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719614232235475176,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-02,1720046042262204510,kader partai gera indonesia raya gerindra bal i wayan puspa negara caleg dprd badung sebut helat pilpres 2024 aku penuh kejut bawa ubah dunia politik indonesia efek imbas bal,in,
2023-11-02,1720043558672159108,kader partai gera indonesia raya gerindra bal i wayan puspa negara caleg sebut helat pilpres 2024 penuh kejut bawa ubah dunia politik indonesia efek bal,in,
2023-11-02,1720039369808154652,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-03,1720337753009963448,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720334758482464844,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan partai demokrat partai bintang pbb bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720329194574639574,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-04,1720770119461470664,temanpemilih umum daftar calon dct anggota dewan wakil rakyat daerah kabupaten belitung timur pilih 2024 partai gera indonesia raya partai gerindra kpumelayani pemiluserentak2024,in,
2023-11-05,1721030431292965268,ribut xland jokowi dukung prabowo dukung ganjar ganjar banget jual jokowi kandas luka narasi main serang percaya narasi retorika kamitakutkalah,in,"Surakarta, Jawa Tengah"
2023-11-05,1721311902914285727,unggul prabowo jauh faktor gibran jokowi serang gibran keluarga jokowi,in,
2023-11-05,1721302857935471097,gibran rawan tunggu arah jokowi warganet ceplos matang buah karbitan bikin sakit perut,in,Jakarta
2023-11-05,1721011051377127617,berita hoaks ban smrc andre suara isi hati prabowo masuk gibran cawapres justeru petaka elektoral prabowo partai orang sengaja nyebar hoaks maksud spesifik,in,
2023-11-05,1721193721994285416,jimly singgung republik raja wajah prabowo auto kecut,in,Indonesia
2023-11-05,1721161032511684690,sumpah jujur tuju pilih prabowo sesuai 6 alas tolakcaprespenculik,in,"Bumi Agung, Indonesia"
2023-11-05,1720997329178947587,mampir singapura sempetin temu sahabat wni senior dunia perban ungkap kecewa psi anti annya prabowo kecewa jokowi unfollow remove follow teman temenku kritis,in,Jakarta
2023-11-05,1721136538778796129,besok golkar umum gibran kader partai golkar,in,Indonesia
2023-11-05,1720996801338372314,anthony budiawan intrik jokowi gibran mencengkram indonesia via,in,
2023-11-05,1721163724323766605,gabung gibran golkar gibran lutut orde oligarki blunder pasang prabowo menantu soeharto naung bawah partai soeharto kader pdi juang,in,"DKI Jakarta, Indonesia"
2023-11-05,1721138062951117078,ngeri main sappo eka gumilar duga operasi rahasia ganti gibran hendak prabowo gandeng et,in,Indonesia
2023-11-05,1721291567875645698,gerindra hasil survei internal tumbang anies baswedan muhaimin dki jakarta kunci kunci,in,"Pulo Gadung, Indonesia"
2023-11-05,1721059057384259890,sekjen pdi p hasto kristiyanto gibran rakabuming raka kader keluarga pdi juang,in,Jakarta
2023-11-05,1720993900427669709,salah pa bukti intervensi mk mk proses skrg gara2 gibran cawapres opa nunjuk golkar sm koalisi partai ko jkw gibran hak pilih rakyat gara2 nurut sm tum,in,"Osaka-shi Kita-ku, Osaka"
2023-11-05,1721141484148441515,arah politik jkw dengar psi kaesang bilang gibran batal cawapres prabowo psi dukung prabowo bolak bilang kader pdip harap jkw dukung ganjar ikhlas,in,"Denpasar Barat, Indonesia"
2023-11-05,1721103775820333161,kelas ketua dpd elite partai anggota dpr ri bikin isu bohong kroco2nya smrc ban postingan politikus partai gerindra andre rosiade smrc keluar survei andre,in,Indonesia
2023-11-05,1721305039736832011,calon gibran cawapres hadap yuridis tentang uu hakim uu mk sidang ulang,in,Jakarta
2023-11-06,1721457291147505993,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar prabowogibranistimewa bersamaindonesiamaju prabowogemoy prabowo subianto,in,"DKI Jakarta, Indonesia"
2023-11-06,1721441301873533213,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar prabowogibranistimewa bersamaindonesiamaju prabowogemoy prabowo subianto,in,
2023-11-06,1721423070110556325,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar prabowogibranistimewa bersamaindonesiamaju prabowogemoy prabowo subianto,in,
2023-11-06,1721409470994280730,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar prabowogibranistimewa bersamaindonesiamaju prabowogemoy prabowo subianto,in,
2023-11-06,1721372009173807154,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,in,
2023-11-06,1721370958861410372,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,in,
2023-11-06,1721369736376877106,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,in,
2023-11-06,1721327573660274901,temanpemilih kawankpumakassar daftar calon dct anggota dprd kota makassar milu serentak 2024 partai gera indonesia raya,in,Kota Makassar
2023-11-07,1721834247852642459,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-07,1721778635827482893,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,"DKI Jakarta, Indonesia"
2023-11-07,1721766822608085162,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-07,1721759877205479675,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-08,1722187020364394816,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-08,1722127589173793255,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,in,
2023-11-08,1722125554378576120,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,in,
2023-11-08,1722122757226500346,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,in,
2023-11-09,1722598485546123616,temanpemilih daftar calon dct anggota dprd provinsi kalimantan barat milu 2024 partai gera indonesia raya gerindra cek daftar lengkap video kpumelayani pemiluserentak2024,in,Pontianak
2023-11-09,1722470668112154759,diri partai politik partai politik gera indonesia raya gerindra bisnis,in,"Jakarta, Indonesia"
2023-11-10,1722890591867195594,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,Jakarta Selatan 
2023-11-11,1723229852105588740,perwira2 solo hadap gibran calon wapres siap menang netralitas tni,in,
