created_at,id_str,full_text,lang,location
2023-11-01,1719779730457805037,pasca temu calon presiden presiden langkah jokowi undang ketua partai partai politik nasdem politikgagasan pdip gerindra nasdem lmnd lmndmandiri lmndterbesar pemilu24damai,in,Indonesia
2023-11-01,1719718073295597577,wakil ketua waketum partai nasdem ahmad ali koalisi ubah umum nama kapten tim menang nasional ti,in,
2023-11-03,1720381338216485223,pilih baik amin yra cc partai oalisi diri puluh partai politik partai demokrasi indonesia juang pdi p partai golong karya golkar partai nasional demokrat nasdem,in,"DKI Jakarta, Indonesia"
2023-11-04,1720720567337365593,ketua dpp partai nasdem kakak willy aditya banyak hadir kunjung amin daerah masyarakat dukung pasang amin bawa ubah adil masyarakat indonesia    ,in,"ÜT: -6.177799,106.843475"
2023-11-04,1720675793888829589,ketua dpp pkb gus imin silaturahmi tokoh tokoh organisasi islam 3 11 mantan ketua muhammadiyah din syamsudin hadir apresiasi dukung pasang mas anies gus imin amin pilpres 2024 gusimin,in,"DKI Jakarta, Indonesia"
2023-11-04,1720788251815170531,waketum dpp partai nasdem h ahmad h m ali tarung politik tarung ide gagas gagas bawa pasang amin representasi masyarakat rakyat ubah    ,in,"ÜT: -6.177799,106.843475"
2023-11-04,1720631385767948644,din syamsuddin anies cak imin representasi nu muhammadiyah tuju dg prof din silah retweet,in,
2023-11-04,1720631224979562967,koruptor bts plate kader nasdem tangkap sangka sdh tangkap ketua tangkap menpora tangkap kmungkinan menpora kader golkar tangkap jagung capres cawapres usung golkar prabowo gibran cemana mnrt klen sodara2,in,Bekasi - Indonesia
2023-11-04,1720723859346002234,kejut anda 2 putar tarung ganjar mahfud anies muhaimin prabowo gibran hilang suara gara gara praktek kkn putus mk,in,Indonesia
2023-11-05,1721030171313176944,calon anggota legislatif caleg partai nasional demokrat nasdem warsito alam kancah politik nasional caleg daerah pilih dapil 1 jawa timur liput kota surabaya,in,"Jawa Timur, Indonesia"
2023-11-07,1721813053405278533,pimpin bawaslu kota jakarta selatan serta staf silaturrahmi sosialisasi kantor dpc partai nasional demokrat nasdem jakarta selatan jelang proses tahap kampanye milu 2024 partai politik patuh regulasi tahap kampanye,in,Jl Wr Buncit Raya 11 Jak-Sel
2023-11-08,1722257213572718646,ketua dpp partai nasdem irma suryani chaniago tim menang nasional anies muhaimin timnas amin kuat sosok purnawiran,in,
2023-11-09,1722483054810398906,bacapres koalisi ubah anies baswedan aku partai nasdem cecar habis habis pilgub dki 2027 partai dukung maju pilpres 2024 anies rapat kerja nasional rakernas lembaga dakwah,in,
2023-11-11,1723348563055264239,foreshadowing moment anies baswedan salah deklarator organisasi masyarakat nama nasional demokrat partai tanggal 1 februari 2010 istora senayan,in,
2023-11-11,1723305338345243120,wakil ketua partai nasdem ahmad ali menep duga sebut sulit bentuk tim nasional timnas menang pasang anies baswedan mu,in,
2023-11-11,1723242378490704035,ketua surya paloh partai nasdem tumbuh salah partai politik peran peta pilih pimpin nasional polhuk adadikompas,in,"Palmerah, Jakarta"
2023-11-11,1723241100775694830,ketua surya paloh partai nasdem tumbuh salah partai politik peran peta pilih pimpin nasional polhuk adadikompas,in,"Palmerah, Jakarta"
2023-11-12,1723601562122191158,wakil ketua waketum partai nasdem ahmad ali respons kabar umum tim nasional timnas menang anies baswedan muhaimin iskandar amin,in,
