created_at,id_str,full_text,lang,location
2023-11-01,1719660675650441439,terang zita anjani ketua dpp partai amanat nasional prabowogibranistimewa bersamaindonesiamaju prabowo subianto,in,
2023-11-01,1719660672882270614,pagi diam zulkifli hasan kawasan widya chandra jakarta sibuk kader partai amanat nasional prabowogibranistimewa bersamaindonesiamaju prabowo subianto,in,
2023-11-01,1719654847258218600,erick dorong partai amanat nasional pan cawapres prabowo bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719654057068077190,partai amanat nasional pan kukuh usung erick cawapres prabowo bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719645824047788466,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719641730990162065,erick dorong partai amanat nasional pan cawapres prabowo bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719640801058373846,partai amanat nasional pan kukuh usung erick cawapres prabowo bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719637674661912853,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719622918752416225,partai golkar partai amanat nasional pan partai demokrat partai bintang pbb partai gelora partai solidaritas indonesia psi partai garuda prima bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,Jakarta Selatan 
2023-11-01,1719614232235475176,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-02,1720045063802327311,terang zita anjani ketua dpp partai amanat nasional prabowogibranistimewa bersamaindonesiamaju prabowo subianto,in,
2023-11-02,1720045060954493409,pagi diam zulkifli hasan kawasan widya chandra jakarta sibuk kader partai amanat nasional prabowogibranistimewa bersamaindonesiamaju prabowo subianto,in,
2023-11-02,1720039369808154652,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-02,1720007935571763286,politis partai amanat nasional pan eko hendro purnomo apresiasi langkah erick thohir dukung prabowo gibran prabowogibranistimewa bersamaindonesiamaju prabowo subianto,in,"Chesterton, Indiana"
2023-11-02,1720007494561640606,koalisi dukung partai politik partai politik parlemen partai gerindra partai golkar partai demokrat partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-02,1719995092340207853,politis partai amanat nasional pan eko hendro purnomo apresiasi langkah erick thohir dukung prabowo gibran prabowogibranistimewa bersamaindonesiamaju prabowo subianto,in,
2023-11-02,1719983018482507803,erick dorong partai amanat nasional pan cawapres prabowo bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-02,1719975762764406817,politis partai amanat nasional pan eko hendro purnomo apresiasi langkah erick thohir dukung prabowo gibran prabowogibranistimewa bersamaindonesiamaju prabowo subianto,in,Senayan Jakarta Selatan
2023-11-02,1719974724787429885,erick dorong partai amanat nasional pan cawapres prabowo bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-02,1719964378940977230,erick dorong partai amanat nasional pan cawapres prabowo bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-03,1720503765512679932,pan kak partai amanat nasional,in,"Ngawi, Indonesia"
2023-11-03,1720400332268904511,terang zita anjani ketua dpp partai amanat nasional prabowogibranistimewa bersamaindonesiamaju prabowo subianto,in,
2023-11-03,1720400327470641285,pagi diam zulkifli hasan kawasan widya chandra jakarta sibuk kader partai amanat nasional prabowogibranistimewa bersamaindonesiamaju prabowo subianto,in,
2023-11-03,1720337753009963448,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720335953414459809,koalisi dukung partai politik partai politik parlemen partai gerindra partai golkar partai demokrat partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720334758482464844,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan partai demokrat partai bintang pbb bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720329194574639574,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720325554396946592,temanpemilih kawankpumakassar kpu kota makassar laku cocok dummy surat suara milu 2024 sekretariat partai amanat nasional pan tingkat kota makassar,in,Kota Makassar
2023-11-03,1720240821130469650,sekretaris jenderal partai amanat nasional pan eddy soeparno nilai calon presiden prabowo subianto sosok solidarity maker rangkul lawan lawan politik ld,in,Indonesia
