conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1719709385176367478,Wed Nov 01 23:36:59 +0000 2023,0,@BennyHarmanID Maaf bukankah partai Demokrat dulu yg mengolkan ? https://t.co/GFRwZlYlNR.,1719861119576330630,,BennyHarmanID,in,,0,0,0,https://x.com/Pantauaja67/status/1719861119576330630,482640378,Pantauaja67
1719860019230093712,Wed Nov 01 23:32:36 +0000 2023,15,Survey suara partai di Jatim 1. PDIP 17 8% 2. PKB 15 2% 3. Gerindra 15 1% 4. Golkar 14 1% 5. Demokrat 10 1% 6. NasDem 5 9% 7. PKS 5 2% 8. PAN 4 5% 9. PPP 4 1% 10. PSI 1 8% 11. Perindo 1 4% 12. Hanura 0 5% https://t.co/PSScTuGGoK,1719860019230093712,,,in,Indonesia ,3,9,11,https://x.com/panca66/status/1719860019230093712,82042655,panca66
1719852446250594776,Wed Nov 01 23:02:31 +0000 2023,0,Serap aspirasi masyarakat Demokrat komitmen perjuangkan Perubahan dan Perbaikan #demokrat #demokratjatim #demokratlumajang #demokrats14p #demokrat14 #demokratsolid #demokratbersamarakyat #demokratpeduliberisolusi #bakomstrademokrat #bakomstrajatim #bakomstralumajang https://t.co/TuPhgaMF8S,1719852446250594776,https://pbs.twimg.com/media/F94kr14aoAAaJuw.jpg,,in,,0,0,0,https://x.com/BakomstraL/status/1719852446250594776,1537264600332152833,BakomstraL
1719734992866341090,Wed Nov 01 22:16:53 +0000 2023,2,@Paltiwest Santai sj pak. RK itu Golkar. Katanya nggak akan ambil kader partai lain? Kok beda? Bu Khofifah itu jg gubernur diajukan Demokrat dan Golkar jg krn ngalahin jagoannya Pdip. Mau di rekrut jg? Gembor2 nya selama ini kaderisasinya mana? ,1719840962472808891,,NalarPolitik_,in,"Jakarta, Indonesia",0,3,2,https://x.com/Stef_Rud/status/1719840962472808891,2833745060,Stef_Rud
1719625757327299055,Wed Nov 01 21:55:50 +0000 2023,1,@geloraco Bukan hanya dia tp yg dr partai demokrat tuh slalu pake war buat cari cuan,1719835665721151498,,geloraco,in,Unknown,0,0,0,https://x.com/_lowkeygirl/status/1719835665721151498,399871363,_lowkeygirl
1719829908715958782,Wed Nov 01 21:32:57 +0000 2023,0,Partai sebesar demokrat kenapa gak nyalonin capres sendiri? Aku heran tapi ini indonesia sistemnya sudah kuno,1719829908715958782,,,in,"Kota Surabaya, Jawa Timur",0,0,0,https://x.com/mansursetiawan_/status/1719829908715958782,562180630,mansursetiawan_
1720195309912113203,Thu Nov 02 23:59:27 +0000 2023,0,@PS_presiden2024 @Rara29803002 @mpoklela7 @Minietweets_ @NoMeycan @tjitrosoenarjo1 @alextham878 @AndreasSolusi @Alie_Fahnoor @B_Hendratmo1 @bengkeldodo Apa ada konstitusi yg ditabrak? Koq nalar ga dipake ? Ga ada ubahnya spt Demokrat dan partai lainnya Retak Nalar ditunjukkan koq bangga‍️‍️,1720229161632166313,,bitCarli77,in,"Grindelwald, Switzerland",0,0,0,https://x.com/PenculikBangsat/status/1720229161632166313,164370154,PenculikBangsat
1719913898315579658,Thu Nov 02 23:43:57 +0000 2023,0,@BennyHarmanID Partai demokrat adalah partai Dinasti tahun 2019 seorang TGB di Deklarasi oleh masyarakat di beberapa wilayah tanpa biaya apapun tetap saja tidak di gubris oleh kakek SBY,1720225261629952491,,BennyHarmanID,in,,0,0,0,https://x.com/Aniesprsdn2024/status/1720225261629952491,1604837011294388225,Aniesprsdn2024
1719924196757917721,Thu Nov 02 23:40:43 +0000 2023,0,@awemany Masih ada yang waras di partai Demokrat. Dulu waktu masih di koalisi lama padahal simpati rakyat tinggi sekali sama PD. Sayang semuanya hancur karena emosi jiwa,1720224448639562127,,awemany,in,,0,0,0,https://x.com/KucingMeon69530/status/1720224448639562127,1687604310547542021,KucingMeon69530
1720025850358489505,Thu Nov 02 23:34:36 +0000 2023,0,@ajengcute16__ Semoga partai Demokrat tidak lolos ke parlemen Terlanjur kecewa,1720222910521266460,,ajengcute16__,in,,0,0,0,https://x.com/Wanto_65/status/1720222910521266460,2160540876,Wanto_65
1720082977512923226,Thu Nov 02 23:29:28 +0000 2023,0,@kompascom Wlwkw partai ini menyusul PDIP Demokrat yang bakalan nyungsep,1720221619187253433,,kompascom,in,samarinda,0,0,0,https://x.com/Fahmii_FR13/status/1720221619187253433,1616820619,Fahmii_FR13
1719972934293582291,Thu Nov 02 23:28:02 +0000 2023,0,@RicKY_KCh Partai mencla mencle Semoga aja Demokrat ga lolos ke parlemen..Aamiin ,1720221256434507923,,RicKY_KCh,in,,0,0,0,https://x.com/Wanto_65/status/1720221256434507923,2160540876,Wanto_65
1720078307348173208,Thu Nov 02 23:11:23 +0000 2023,1,@freak60293 @cryptoholderrrr @YRadianto kamu tdk ngalamin 1997 ..1998 ... 1999 .. ya .... 2004 demokrat masih partai gurem .... 2009 demokrat menang karena ketua umumnya berkuasa... 2014 nyungsep jadi gurem lagi karena korupsi masif... PDI Perjuangan selalu di 3 besar ada Jokowi maupun tdk ada Jokowi..,1720217068828819866,,freak60293,in,Denpasar Bali,0,1,0,https://x.com/Handoko75161314/status/1720217068828819866,1184016654860075008,Handoko75161314
1720141936022204811,Thu Nov 02 22:48:20 +0000 2023,0,@Ronnie_Rusli Satu-satunya yg bisa mempersatukan partai Republik dan partai Demokrat adalah dukungan tanpa batas dan syarat untuk Israel karena lobby Israel disana menjadi sponsor utama bagi calon dari kedua partai,1720211266030219751,,Ronnie_Rusli,in,,0,0,0,https://x.com/irhamnapermana/status/1720211266030219751,180112404,irhamnapermana
1719892220797686214,Thu Nov 02 22:45:49 +0000 2023,0,@bianca01403 Jadi Terpikir deal-deal Demokrat sama Pemerintah untuk menjegal Anies apa ada bargaining agar tu Partai aman dari Begal.,1720210633369809233,,,in,"dumai, indonesia",0,0,0,https://x.com/p4rn4un6an/status/1720210633369809233,842543436,p4rn4un6an
1720061137671303346,Thu Nov 02 22:36:57 +0000 2023,0,@satriohendri Jokowi nggak bakal bisa dimakzulkan nggak cukup suaranya mau mengharapkan suara dari fraksi partai demokrat tak mungkin. Partai demokrat itu kan partai kerbau yang dicucuk hidungnya di samping itu juga sudah se kolam dan se kasur dengan presiden Jokowi.,1720208400984977780,,satriohendri,in,,0,0,0,https://x.com/Sudimawan212/status/1720208400984977780,1605116919706554368,Sudimawan212
1720063230507409509,Thu Nov 02 21:54:25 +0000 2023,0,@BennyHarmanID apa artinya sebagai Fadli Zon nya Demokrat kalau partai dan ketumnya sdh gandeng renteng ke rejim berkuasa...,1720197699037966634,,BennyHarmanID,in,,0,0,0,https://x.com/Dodolmeong1/status/1720197699037966634,1228978096084152320,Dodolmeong1
1720043818660385084,Thu Nov 02 19:52:52 +0000 2023,0,@AgusYudhoyono Terima kasih Kader2 Partai Demokrat yang selalu terdepan memberikan bantuan utk masyarakat.,1720167107915350077,,AgusYudhoyono,in,,0,0,0,https://x.com/AHYB4NGK1T/status/1720167107915350077,1597100222672687109,AHYB4NGK1T
1719887784612380803,Thu Nov 02 19:16:30 +0000 2023,1,@panca66 @Tan_Mar3M @MIrvanDarwin1 @RheinaHerlina Kata siapa saya semenjaka partai demokrat berdi saya selalu pilih tapi sekarang by demokrat,1720157955788771471,,panca66,in,"Tangerang, Banten",0,0,0,https://x.com/criztiandi/status/1720157955788771471,1083973246884622337,criztiandi
1720145254496764355,Thu Nov 02 18:26:02 +0000 2023,0,MBD (Maju Bersama Demokrat) Saya Amarman warga Asahan Sumatera Utara tujuan @PDemokrat dan akan tegak lurus setia pada Demokrat akan selalu berusaha menghidupkan partai demokrat walaupun sudah habis pemilu 2024.. Untuk itu saya Mohon arahan dan bimbingannya pak @AgusYudhoyono ,1720145254496764355,,,in,,0,0,0,https://x.com/Amarman3208/status/1720145254496764355,1661313294886653952,Amarman3208
1720142799235150193,Thu Nov 02 18:16:16 +0000 2023,1,Rocky Gerung Sebut Keputusan Partai Demokrat Dukung Prabowo buat Jokowi Cemas Bakal Ada Perubahan! - https://t.co/Fac6g7umSU https://t.co/BPnEYo1ELQ #prabowo #MenataMasaDepan #BersamaPrabowo,1720142799235150193,,,in,Jakarta Capital Region,0,0,8,https://x.com/AdrianaDaneen/status/1720142799235150193,1068101963059879936,AdrianaDaneen
1720376423683445223,Fri Nov 03 23:57:44 +0000 2023,0,@ajengcute16__ Partai Demokrat bisa anjlok ni gara2 Ajeng ini tiba2 jd penjilat penguasa,1720591120626045296,,ajengcute16__,in,,0,0,0,https://x.com/Wanto_65/status/1720591120626045296,2160540876,Wanto_65
