conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1719779730457805037,Wed Nov 01 18:13:34 +0000 2023,4, Pasca Pertemuan para Calon Presiden dengan Presiden @jokowi langkah selanjutnya sebaiknya Pak Jokowi mengundang juga para ketua Umum Partai-partai Politik @NasDem @Gerindra @puanmaharani_ri #politikgagasan #pdip #gerindra #nasdem #lmnd #lmndmandiri #lmndterbesar #pemilu24damai https://t.co/hUEFmu0RND,1719779730457805037,https://pbs.twimg.com/media/F93ijNuawAAuzuo.jpg,,in,Indonesia,0,0,2,https://x.com/EnLmnd/status/1719779730457805037,1173127907616493568,EnLmnd
1719718073295597577,Wed Nov 01 14:08:34 +0000 2023,1,Wakil Ketua Umum (Waketum) Partai NasDem Ahmad Ali menyatakan bahwa Koalisi Perubahan akan segera mengumumkan nama kapten Tim Pemenangan Nasional (Ti... https://t.co/OedKlq6LLw,1719718073295597577,,,in,,0,0,0,https://x.com/inilahdotcom/status/1719718073295597577,46693036,inilahdotcom
1719622888125616197,Wed Nov 01 07:50:27 +0000 2023,0,Partai Golkar Partai Amanat Nasional (PAN) Partai Demokrat Partai Bulan Bintang (PBB) Partai Gelora Partai Solidaritas Indonesia (PSI) Partai Garuda dan Prima. #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto,1719622918752416225,,golbachgoals,in,Jakarta Selatan ,0,1,0,https://x.com/golbachgoals/status/1719622918752416225,909824927695589376,golbachgoals
1720041206913376631,Thu Nov 02 11:32:35 +0000 2023,2,Ketua DPP Partai Demokrat Herman Khaeron mengatakan bahwa Ketua Tim Kampanye Nasional (TKN) Prabowo-Gibran Rosan Roeslani sedang melobi Gubernur Jaw... https://t.co/JOaAkzTf59,1720041206913376631,,,in,,0,0,0,https://x.com/inilahdotcom/status/1720041206913376631,46693036,inilahdotcom
1720007486915395938,Thu Nov 02 09:18:37 +0000 2023,0,Koalisi ini didukung oleh empat partai politik (parpol) Parlemen yakni Partai Gerindra Partai Golkar Partai Demokrat dan Partai Amanat Nasional (PAN). #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto,1720007494561640606,,alfisahdinardi,in,,0,1,0,https://x.com/alfisahdinardi/status/1720007494561640606,1614854441127284737,alfisahdinardi
1720373477667184925,Fri Nov 03 10:04:08 +0000 2023,1,Bisa memilih yang terbaik Amin YRA... cc : @airlangga_hrt @ZUL_Hasan @kaesangb &amp; partai oalisi ini didirikan oleh sepuluh partai politik antara lain Partai Demokrasi Indonesia Perjuangan (PDI-P) Partai Golongan Karya (Golkar) Partai Nasional Demokrat (NasDem) ,1720381338216485223,,The_Piroen,in,"DKI Jakarta, Indonesia",0,1,0,https://x.com/The_Piroen/status/1720381338216485223,722786253138055170,The_Piroen
1720335413674684465,Fri Nov 03 07:03:48 +0000 2023,0,Koalisi ini didukung oleh empat partai politik (parpol) Parlemen yakni Partai Gerindra Partai Golkar Partai Demokrat dan Partai Amanat Nasional (PAN). #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1720335953414459809,,moammarfatahil1,in,,0,1,0,https://x.com/moammarfatahil1/status/1720335953414459809,1621379469125775363,moammarfatahil1
1720334460552704254,Fri Nov 03 06:59:03 +0000 2023,0,Sementara itu pasangan Prabowo-Gibran diusung oleh Partai Gerakan Indonesia Raya (Gerindra) Partai Golongan Karya (Golkar) Partai Amanat Nasional (PAN) Partai Demokrat Partai Bulan Bintang (PBB) #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1720334758482464844,,alfisahdinardi,in,,0,1,0,https://x.com/alfisahdinardi/status/1720334758482464844,1614854441127284737,alfisahdinardi
1720614687891411423,Sat Nov 04 01:31:23 +0000 2023,527,. . PRABOWO CUMA WAYANGNYA HASIM Selama beroposisi Keluarga mereka digencet Manuver masuk ke Kabinet tidak lebih dan lain upaya untuk bisa BERKUASA Lewat tangan JOKOWI kini Hasyim menikmati Proyek Fantastis di I K N Terbayang jika mereka Berkuasa kelak Gaeesss ?!! . . https://t.co/4wWUrZdbNb,1720614687891411423,https://pbs.twimg.com/ext_tw_video_thumb/1720614639090737152/pu/img/QA9iSSk-NXL1_J6a.jpg,,in,Bermuda Triangle,24,68,220,https://x.com/StefanAntonio__/status/1720614687891411423,1529491450605768704,StefanAntonio__
1720753041404506222,Sat Nov 04 10:41:09 +0000 2023,307,Onze lijsttrekker @DilanYesilgoz staat aan jouw kant. Haar boodschap aan alle Nederlanders. https://t.co/RlCBpavq1d https://t.co/NhPE5CUYMF,1720753041404506222,https://pbs.twimg.com/amplify_video_thumb/1720752984814968832/img/8lrWKJ2DWnJE67J7.jpg,,nl,Netherlands,126,822,52,https://x.com/VVD/status/1720753041404506222,7599192,VVD
