conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1719695451304411569,Wed Nov 01 12:38:40 +0000 2023,4,PARTAI Demokrasi Indonesia Perjuangan (PDIP) meminta pemerintah untuk tidak menerapkan politik diskriminatif dan menegakkan netralitas. Sumber: https://t.co/MHHcRp8wAD,1719695451304411569,,,in,Jakarta - Indonesia,1,2,0,https://x.com/mediaindonesia/status/1719695451304411569,68930552,mediaindonesia
1719670955880968261,Wed Nov 01 11:01:20 +0000 2023,0,Menurut survei Indikator Politik Indonesia Partai Demokrasi Indonesia Perjuangan (PDIP) masih menjadi partai politik dengan tingkat keterpilihan teratas saat ini yaitu 25 2%. https://t.co/VKl7kEfiBR #SurveiIndikator #PartaiPolitik #PDIP #Gerindra #Golkar #Databoks https://t.co/xX7q3rlqtR,1719670955880968261,https://pbs.twimg.com/media/F91_nw2XAAAThyz.jpg,,in,,0,0,0,https://x.com/databoksid/status/1719670955880968261,1316329680396451841,databoksid
1719662134689468477,Wed Nov 01 10:26:17 +0000 2023,76,H. Mohamad Guntur Romli (lahir 17 Maret 1978) adalah penulis aktivis Nahdlatul Ulama politikus Partai Demokrasi Indonesia Perjuangan (PDIP) Ketua Umum Ganjarian Spartan Ganjar Pranowo. Ia pernah menempuh pendidikan di Universitas Al-Azhar Kairo Mesir. @GunRomli @nongandah https://t.co/fEtT1E2CMu,1719662134689468477,https://pbs.twimg.com/media/F913mS7b0AESha3.jpg,,in,"Jawa Timur, Indonesia",0,2,15,https://x.com/Simbok_Dharmi/status/1719662134689468477,1508676971584421889,Simbok_Dharmi
1719654431099384232,Wed Nov 01 09:55:43 +0000 2023,0,Budi Arie dengan santai menepis anggapan bahwa Provinsi Jawa Tengah yang notabene merupakan basis Partai Demokrasi Indonesia Perjuangan (PDIP) #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto,1719654443300610215,,KarinaP35443364,in,,0,1,0,https://x.com/KarinaP35443364/status/1719654443300610215,1718882541074358272,KarinaP35443364
1719645759661072468,Wed Nov 01 09:21:27 +0000 2023,0,Pasangan Ganjar-Mahfud Md. diusung oleh Partai Demokrasi Indonesia Perjuangan (PDIP) Partai Persatuan Pembangunan (PPP) Partai Persatuan Indonesia (Perindo) dan Partai Hati Nurani Rakyat (Hanura). #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto,1719645820793061716,,KarinaP35443364,in,,0,1,0,https://x.com/KarinaP35443364/status/1719645820793061716,1718882541074358272,KarinaP35443364
1719641199303438657,Wed Nov 01 09:03:09 +0000 2023,0,Budi Arie dengan santai menepis anggapan bahwa Provinsi Jawa Tengah yang notabene merupakan basis Partai Demokrasi Indonesia Perjuangan (PDIP) #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto,1719641212678963273,,alfisahdinardi,in,,0,1,0,https://x.com/alfisahdinardi/status/1719641212678963273,1614854441127284737,alfisahdinardi
1719637588540273030,Wed Nov 01 08:49:04 +0000 2023,0,Pasangan Ganjar-Mahfud Md. diusung oleh Partai Demokrasi Indonesia Perjuangan (PDIP) Partai Persatuan Pembangunan (PPP) Partai Persatuan Indonesia (Perindo) dan Partai Hati Nurani Rakyat (Hanura). #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto,1719637670123762071,,alfisahdinardi,in,,0,1,0,https://x.com/alfisahdinardi/status/1719637670123762071,1614854441127284737,alfisahdinardi
1719631414260552084,Wed Nov 01 08:24:13 +0000 2023,0,PDIP vs Jokowi: Konflik Kepentingan Nasional atau Keluarga?: https://t.co/jl6nNtLkwM Jakarta Konflik Partai Demokrasi Indonesia Perjuangan (PDIP) dengan Presiden Joko Widodo (Jokowi) merupakan Baca Selengkapnya The post PDIP vs Jokowi: Konflik https://t.co/k0I0OUdIV9 https://t.co/OxEMCGfsUB,1719631414260552084,https://pbs.twimg.com/media/F91bqK7aEAEym8d.jpg,,in,"South Sulawesi, Indonesia",0,0,0,https://x.com/simpulrakyat/status/1719631414260552084,1104641529199550464,simpulrakyat
1719614133610668150,Wed Nov 01 07:15:55 +0000 2023,0,Pasangan Ganjar-Mahfud Md. diusung oleh Partai Demokrasi Indonesia Perjuangan (PDIP) Partai Persatuan Pembangunan (PPP) Partai Persatuan Indonesia (Perindo) dan Partai Hati Nurani Rakyat (Hanura). #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto,1719614227474968862,,mercifulove,in,,0,1,0,https://x.com/mercifulove/status/1719614227474968862,1287936042750758912,mercifulove
1719605336393609571,Wed Nov 01 06:40:39 +0000 2023,0,Budi Arie dengan santai menepis anggapan bahwa Provinsi Jawa Tengah yang notabene merupakan basis Partai Demokrasi Indonesia Perjuangan (PDIP) #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto,1719605352021549501,,mercifulove,in,,0,1,0,https://x.com/mercifulove/status/1719605352021549501,1287936042750758912,mercifulove
1719583013527560337,Wed Nov 01 05:11:53 +0000 2023,5,Bendera Partai Demokrasi Indonesia Perjuangan (PDIP) dan baliho calon presiden serta calon wakil presiden Ganjar Pranowo-Mahfud MD dicopot Satuan Polisi Pamong Praja (Satpol PP) Provinsi Bali. Kasatpol PP Bali Nyoman Rai Dharmadi mengatakan perintah pencopotan dari pejabat (Pj),1719583013527560337,,,in,Indonesia,0,1,2,https://x.com/Dharma_tc/status/1719583013527560337,1260061504767836162,Dharma_tc
1719541355318575476,Wed Nov 01 02:41:13 +0000 2023,0,@Rosy17968033 Ganjar Pranowo Calon Presiden dari Partai Demokrasi Indonesia (PDI) Perjuangan kembali muncul. Kali ini sebagai calon presiden ia mendapat dukungan dari berbagai kalangan masyarakat termasuk keluarga korban RMS.,1719545099250749830,,Rosy17968033,in,,0,0,0,https://x.com/Marx31097661/status/1719545099250749830,1613806387519160320,Marx31097661
1720086506902262164,Thu Nov 02 14:32:35 +0000 2023,0,Perseteruan antara Partai Demokrasi Indonesia Perjuangan (PDIP) dengan pendukung dan keluarga besar Presiden Joko Widodo nampaknya belum juga mereda. Apa kata Sekjen PDIP Hasto Kristiyanto? https://t.co/yxTvug1EEN,1720086506902262164,,,in,Jakarta,0,0,0,https://x.com/erakinimedia/status/1720086506902262164,1666299675329298433,erakinimedia
