created_at,id_str,full_text,lang,location
2023-11-01,1719695451304411569,partai demokrasi indonesia juang pdip perintah terap politik diskriminatif tegak netralitas sumber,in,Jakarta - Indonesia
2023-11-01,1719670955880968261,survei indikator politik indonesia partai demokrasi indonesia juang pdip partai politik tingkat pilih atas 25 2 surveiindikator partaipolitik pdip gerindra golkar databoks,in,
2023-11-01,1719662134689468477,h mohamad guntur romli lahir 17 maret 1978 tulis aktivis nahdlatul ulama politikus partai demokrasi indonesia juang pdip ketua ganjarian spartan ganjar pranowo tempuh didik universitas al azhar kairo mesir gunromli nongandah,in,"Jawa Timur, Indonesia"
2023-11-01,1719654443300610215,budi arie santai menep anggap provinsi jawa notabene basis partai demokrasi indonesia juang pdip bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719645820793061716,pasang ganjar mahfud md usung partai demokrasi indonesia juang pdip partai satu bangun pulang pergi partai satu indonesia perindo partai hati nurani rakyat hanura bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719641212678963273,budi arie santai menep anggap provinsi jawa notabene basis partai demokrasi indonesia juang pdip bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719637670123762071,pasang ganjar mahfud md usung partai demokrasi indonesia juang pdip partai satu bangun pulang pergi partai satu indonesia perindo partai hati nurani rakyat hanura bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719631414260552084,pdip vs jokowi konflik penting nasional keluarga jakarta konflik partai demokrasi indonesia juang pdip presiden joko widodo jokowi baca lengkap the post pdip vs jokowi konflik,in,"South Sulawesi, Indonesia"
2023-11-01,1719614227474968862,pasang ganjar mahfud md usung partai demokrasi indonesia juang pdip partai satu bangun pulang pergi partai satu indonesia perindo partai hati nurani rakyat hanura bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719605352021549501,budi arie santai menep anggap provinsi jawa notabene basis partai demokrasi indonesia juang pdip bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719583013527560337,bendera partai demokrasi indonesia juang pdip baliho calon presiden calon wakil presiden ganjar pranowo mahfud md copot satu polisi pamong praja satpol pulang pergi provinsi bal kasatpol pulang pergi bal nyoman rai dharmadi perintah copot jabat pj,in,Indonesia
2023-11-01,1719545099250749830,rosy17968033 ganjar pranowo calon presiden partai demokrasi indonesia pdi juang muncul kali calon presiden dukung kalang masyarakat keluarga korban rms,in,
2023-11-02,1720086506902262164,seteru partai demokrasi indonesia juang pdip dukung keluarga presiden joko widodo nampaknya reda sekjen pdip hasto kristiyanto,in,Jakarta
