created_at,id_str,full_text,lang,location
2023-11-01,1719659686423921120,hadap legislator pks jatijaya irwan prayitno pesan jaga silaturahmi ketua dewan pakar partai adil sejahtera pks irwan prayitno narasumber giat bimbing teknis bimtek anggota pks bela rakyat pks bela rakyat,in,bekasi
2023-11-01,1719659651393073500,ketua fpks dpr ri jatijaya harap menang pks ketua fraksi partai adil sejahtera pks dpr ri jazuli juwaini hadir acara bimbing teknis bimtek anggota dprd jawa jawa timur pks bela rakyat pks bela rakyat,in,bekasi
2023-11-01,1719659397776040058,pks sapa warga pmi cikarang utara senam nusantara bazaar umkm periksa sehat pksbekasi cikarang utara bekas 29 oktober 2023 partai adil sejahtera pks sapa warga pks bela rakyat pks bela rakyat,in,bekasi
2023-11-01,1719645817521484091,pasang anies muhaimin usung partai nasdem partai bangkit bangsa pkb partai adil sejahtera pks partai ummat bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719644847450300818,hadap legislator pks jatijaya irwan prayitno pesan jaga silaturahmi ketua dewan pakar partai adil sejahtera pks irwan prayitno narasumber giat bimbing teknis bimtek anggota pks bela rakyat pks bela rakyat,in,
2023-11-01,1719637665665147224,pasang anies muhaimin usung partai nasdem partai bangkit bangsa pkb partai adil sejahtera pks partai ummat bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719632025727189187,hadap legislator pks jatijaya irwan prayitno pesan jaga silaturahmi ketua dewan pakar partai adil sejahtera pks irwan prayitno narasumber giat bimbing teknis bimtek anggota dprd kabupaten pks bela rakyat,in,Bekasi
2023-11-01,1719631827374334206,pks partai komitmen adil sistem adil pksejahtera pks nomer 8 fpksdprri,in,
2023-11-01,1719626324825047069,pks partai juang adil sosial pks nomer 8 pksejahtera fpksdprri,in,
2023-11-01,1719622536072499238,pks partai juang adil pksejahtera pks nomer 8 fpksdprri,in,
2023-11-01,1719622118579806475,pks partai konsisten jaga nilai nilai agama adil sosial pks nomer 8 pksejahtera fpksdprri,in,Tuban
2023-11-01,1719620018797961501,pks partai penting adil sosial pksejahtera pks nomer 8 fpksdprri,in,
2023-11-01,1719616882658226621,pks partai dukung sejahtera rakyat mari juang adil sosial pks nomer 8 pksejahtera fpksdprri,in,Sukabumi
2023-11-01,1719614900220449242,abankketoprak pksejahtera fpksdprri pks partai prioritas adil sosial pks nomer 8 pksejahtera fpksdprri,in,Depok
