conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,categories
1719659907585368282,Wed Nov 01 10:17:39 +0000 2023,0,untuk mengambil keputusan yang strategis termasuk dalam menentukan Calon Wakil Presiden yang akan menjadi pasangannya dalam Pilpres 2024 mendatang. #PrabowoGibranIstimewa #BersamaIndonesiaMaju Prabowo Subianto,1719659964279791750,,seledingtekell,in,,0,1,0,https://x.com/seledingtekell/status/1719659964279791750,1641830722834161664,seledingtekell,"kubu_01, kubu_02"
1719654007147569391,Wed Nov 01 09:54:00 +0000 2023,0,Jakarta - Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir menyatakan bakal mendukung calon presiden (capres) dari Koalisi Indonesia Maju Prabowo Subianto di Pilpres 2024. Apa alasannya? #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto,1719654010779820434,,KarinaP35443364,in,,0,1,0,https://x.com/KarinaP35443364/status/1719654010779820434,1718882541074358272,KarinaP35443364,"kubu_01, kubu_02"
1719652911356211489,Wed Nov 01 09:49:39 +0000 2023,0,Jakarta - Menteri BUMN Erick Thohir akan mendukung Calon Presiden Koalisi Indonesia Maju Prabowo Subianto dalam gelaran Pilpres 2024. #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto,1719652914904678688,,KarinaP35443364,in,,0,1,0,https://x.com/KarinaP35443364/status/1719652914904678688,1718882541074358272,KarinaP35443364,"kubu_01, kubu_02"
1719651515210883093,Wed Nov 01 09:44:08 +0000 2023,0,Menteri BUMN Erick Thohir menyatakan akan mendukung bakal calon presiden dari Koalisi Indonesia Maju Prabowo Subianto pada Pilpres 2024. #PrabowoGibranIstimewa #BersamaIndonesiaMaju Prabowo Subianto,1719651526506111454,,IMPURIUM,in,"Chesterton, Indiana",0,1,0,https://x.com/IMPURIUM/status/1719651526506111454,2593329644,IMPURIUM,"kubu_01, kubu_02"
1719645759661072468,Wed Nov 01 09:21:25 +0000 2023,0,Komisi Pemilihan Umum (KPU) telah menerima pendaftaran tiga pasangan bakal calon presiden dan wakil presiden untuk Pilpres 2024 #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto,1719645811175530641,,KarinaP35443364,in,,0,1,0,https://x.com/KarinaP35443364/status/1719645811175530641,1718882541074358272,KarinaP35443364,"kubu_01, kubu_02"
1719644060154204307,Wed Nov 01 09:14:28 +0000 2023,0,Pemilihan Umum (Pemilu) 2024 bakal ketat. Khususnya pemilihan presiden (pilpres) yang mengerucut pada tiga calon yakni Ganjar Pranowo Prabowo Subianto dan Anies Baswedan. https://t.co/An47X6adSg,1719644060154204307,,,in,,0,0,0,https://x.com/heralddotID/status/1719644060154204307,1698580133068865536,heralddotID,"kubu_03, kubu_01, kubu_02"
1719641968517722524,Wed Nov 01 09:08:05 +0000 2023,0,Sebelumnya tiga bakal calon presiden di Pemilu 2024 menyambangi Istana Merdeka Jakarta. #PrabowoGibranIstimewa #BersamaIndonesiaMaju https://t.co/TTEP77eHTo,1719642454910230538,https://pbs.twimg.com/media/F91liu6bQAA1dCK.png,MessyHairByF,in,,0,1,0,https://x.com/MessyHairByF/status/1719642454910230538,1600408394241744897,MessyHairByF,"kubu_01, kubu_02"
1719640760113606866,Wed Nov 01 09:01:21 +0000 2023,0,Jakarta - Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir menyatakan bakal mendukung calon presiden (capres) dari Koalisi Indonesia Maju Prabowo Subianto di Pilpres 2024. Apa alasannya? #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto,1719640763200659633,,alfisahdinardi,in,,0,1,0,https://x.com/alfisahdinardi/status/1719640763200659633,1614854441127284737,alfisahdinardi,"kubu_01, kubu_02"
1719639532046586074,Wed Nov 01 08:56:29 +0000 2023,0,Jakarta - Menteri BUMN Erick Thohir akan mendukung Calon Presiden Koalisi Indonesia Maju Prabowo Subianto dalam gelaran Pilpres 2024. #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto,1719639535435571240,,alfisahdinardi,in,,0,1,0,https://x.com/alfisahdinardi/status/1719639535435571240,1614854441127284737,alfisahdinardi,"kubu_01, kubu_02"
1719637588540273030,Wed Nov 01 08:49:01 +0000 2023,0,Komisi Pemilihan Umum (KPU) telah menerima pendaftaran tiga pasangan bakal calon presiden dan wakil presiden untuk Pilpres 2024 #BersamaIndonesiaMaju #PrabowoGibranIstimewa Prabowo Subianto,1719637657037554159,,alfisahdinardi,in,,0,1,0,https://x.com/alfisahdinardi/status/1719637657037554159,1614854441127284737,alfisahdinardi,"kubu_01, kubu_02"
