created_at,id_str,full_text,lang,location
2023-11-01,1719588971724833271,ketua ketua partai kebangkitan bangsa partai kebangkitan bangsa calon wakil presiden pasangan anies baswedan muhaimin iskandar cak imin acara,in,
2023-11-01,1719683033991966826,anies santri benaran cak imin santri tenanan semoga hidayah semoga presidennya amin anies muhaimin pemimpin adil makmur santri,in,"Papua Barat, Indonesia"
2023-11-01,1719617600555237546,ganjar pranowo mahfud md anies baswedan muhaimin iskandar cak imin prabowo gibran,in,
2023-11-01,1719623407611064559,yuk spill bio sang idola anies rasyid baswedan,in,"DKI Jakarta, Indonesia🇲🇨"
2023-11-01,1719832849170550903,anies pemilihan presiden berbuat ria,in,
2023-11-01,1719841406951604509,anies ps08 pemilihan presiden seblumnya kalah pemilih jawa jawa timur penghitungan komisi pemelihan kunci kemenangan,in,
2023-11-01,1719697659500638510,anies baswedan gus muhaimin iskandar pasangan santri kh thoifur mawardi anies santri tenanan gus imin santri tenanan pemimpin hebat negeri amin suara pesantren membangun negeri kemaslahatan pesantren,in,
2023-11-01,1719585955802435592,hadiri sharing session unisma cak imin diundang kampus muhaimin iskandar cak imin menghadiri sharing session diadakan unisma calon wakil presiden pendamping anies baswedan via,in,Surabaya
2023-11-01,1719689922221953189,pasangan anies baswedan gus muhaimin iskandar pasangan santri kh thoifur mawardi anies santri tenanan gus imin santri tenanan pemimpin adil makmur santri,in,
2023-11-01,1719683882629599681,anis santri benaran cak imin santri tenanan mugio sedoyo kantuk hidayah lan presidene amin anies muhaimin pemimpin adil makmur santri sejahtera,in,
2023-11-01,1719524142607941746,bully jaya suprana difitnah kecuali anies rasyid baswedan jokowi mengalami,in,"Jakarta, Indonesia"
2023-11-01,1719608904404083077,selamat anies tanah rencong nanggroe aceh darussalam,in,NANGROE ACEH DARUSSALAM🇹🇷
2023-11-01,1719686470032883981,santri kiai golongan mas anies gus keras lapisan golongan pesantren kiai kiai melepas diabdikan kepentingan kalangan,in,Indonesia
2023-11-01,1719674137596367298,merinding sambutan meriah warga relawan sumbar anies baswedan bandara,in,Indonesia 
2023-11-01,1719690891332612268,bismillah sumatra barat menang total amin allahuma amin anies,in,
2023-11-01,1719849586309947824,anies baswedan menghadiri aksi doa palestina digelar taman jam gadang kota bukittinggi sumatra barat,in,Indonesia 
2023-11-01,1719688605697012072,bahaya ta wuar penyambutan anies baswedan safari politiknya sumbar,in,Indonesia 
2023-11-01,1719606639509328011,antusiasme warga aceh sambut kedatagan anies acara anies saweuwe,in,NANGROE ACEH DARUSSALAM🇹🇷
2023-11-01,1719840708448895071,amin menang indonesia senang rakyat adil makmur sejahtera bismillah rindu pemimpin santri anies,in,
2023-11-01,1719564420517609861,calon presiden ri anies baswedan serambi makkah disambut lautan massa merindukan perubahan negeri,in,In her dream...
2023-11-01,1719840464545927187,sholawat menggema bismillah amin menang indonesia senang rakyat adil makmur sejahtera anies indonesia,in,
2023-11-01,1719551858203845078,bicara anies baswedan prabowo anies cakap cerdas menyediakan berbakti negara gibran kpl daerah sukses membangun jakarta percontohan abang gede ganjar aktif dikampus menteri gubernur track rcdnya,in,
2023-11-01,1719860285660594614,idola millenial mas anies mengobrol insipirasi bareng muda mudi aceh anak muda bawa perasaan peran turun tangan perubahan perubahan terbaik adil makmur sejahtera amin menang indonesia senang,in,
2023-11-01,1719557798806360483,antusias warga aceh anies baswedan bandara lhokseumawe aceh disambut relawan warga,in,Indonesia 
2023-11-01,1719854900723785917,bukittinggi hujan gerimis doa palestina anies rasyid baswedan pelataran jam gadang menyurutkan niat warga bertahan acara,in,Jakarta Internasional Stadium
2023-11-01,1719864558444290380,anies prabowo ganjar hidup anies rasyid baswedan,in,Bekasi
2023-11-01,1719668314107232366,mas anies tokoh favoritnya emak emak gus tokoh favoritnya santri santri favorit panglima santri yanh perjuangkan santri pesantren,in,Indonesia
2023-11-01,1719689274675880386,bismillah sumbar amin total amin allahuma amin amin menang indonesia senang anies,in,
2023-11-01,1719701929792573822,thoriqoh syathoriyyah an nahdliyah menggelar musyawarah nasional ih lumajang pembukaan munasnya tokoh diundang calon presiden anies rasyid baswedan presiden partai keadilan sejahtera ahmad syaikhona ketua dpw partai keadilan sejahtera jawa timur irwan setiawan,in,"Bangkalan, Indonesia"
2023-11-01,1719669363446554703,amin anies menang ayo santri bersatu nu muhammadiyah setuju memenangkan amin kiai said aqil siraj kh muhammad sirajuddin syamsuddin track record mas anies gus imin pemersatu agama pemersatu bangsa pokoknya,in,Indonesia
2023-11-01,1719644311963472289,sayyidil habib anies rasyid abdurrahman baswedan anies,in,"Jawa Tengah, Indonesia. "
2023-11-01,1719635548023955615,amin pasangan nyantri mas anies santri gus imin santri kiai thoifur duanya pemimpin hebat negeri,in,"DKI Jakarta, Indonesia"
2023-11-01,1719688559668670825,iri bacapres anies disetiap kunjungannya pelosok tanah air ramaikan pendukungnya pagi ab tanah luas aceh disambut masyarakat aceh penuh antusias ab mengagumkan,in,Indonesia
2023-11-01,1719609540738678907,pesan gus imin santri wajib santri meneruskan perjuangan mbah hasyim pemimpin rakyat,in,"DKI Jakarta, Indonesia"
2023-11-01,1719664542534561980,kemarin teriak histeris memanggil gus amin kenalkan namaku anis muhaimin,in,Indonesia
2023-11-01,1719729526505365546,doa palestina bukittinggi anies baswedan jam gadang kayaknya satunya calon presiden peduli kemanusiaan palestina banget menyuarakan palestina,in,
2023-11-01,1719541795607158819,anies kapten timnas amin alhamdulillah semoga kuat arus perubahan,in,
2023-11-01,1719620315737940056,cintanya rakyat aceh pasangan anies baswedan cak imin penuh sesak antusias aceh basisnya prabowo berubah basis amin rakyat mengininginkan perubahan,in,
2023-11-01,1719770334226989115,malam jam gadang udara dingin menusuk tulang calon presiden ri anies baswedan warga bukittinggi memanjatkan doa saudara palestina minggu mengalami penderitaan in allah,in,In her dream...
2023-11-01,1719721291849318629,masya allah lautan massa kehadiran calon presiden ri anies baswedan jam gadang bukittinggi malam,in,In her dream...
2023-11-01,1719554408684609928,ocehanmu mengubah komitmen dukungan orang jujur nasionalisme humble cerdas terbukti rekam jejaknya diakui dunia international anies rasyid baswedan min,in,
2023-11-01,1719845960116011456,firli memusuhi anies teman mainnya bos alexis teman bahaya ta,in,Jakarta
2023-11-01,1719732188508573833,kali anies baswedan solo pekan bertemu relawan hadiri haul habib ali wali kota gibran,in,"-6.252543,106.806343"
2023-11-01,1719681653151244698,daftar ulama berpengaruh aceh dukungan anies baswedan,in,
2023-11-01,1719670338898825363,anies berziarah makam pendiri kerajaan samudera pasai sapa warga aceh,in,
2023-11-01,1719570998100664421,bercerita memuji anakmu orang simpanlah kelebihan anakmu dirimu orang suka mendengarkan pujian anaknya anakmu habib anis bin alwi al habsyi,in,
2023-11-01,1719505915337167086,diprlakukan beliau menteri aktif calon presiden wakilnya wali kota aktif anak presiden beliau berdua jejaring struktur lengkap sdngkan anis ganjar pejabat hormati beliau,in,
2023-11-02,1719947669647565108,anies rasyid baswedan presidennya den porno sang koruptor e kartu tanda penduduk situ waras,in,
2023-11-02,1719993141661745444,masyaallah sambutan warga bukittinggi anies mengunjungi rumah kelahiran hatta,in,Jakarta Capital Region
2023-11-02,1719889129700462792,anies anies rasyid baswedan salam perubahan,in,
2023-11-02,1719885147393372208,sambutan hangat masyarakat aceh anies barakallah,in,Jakarta Capital Region
2023-11-02,1719951451886346701,anies baswedan menghadiri acara doa palestina bukit sumatra barat acara dihadiri ribuan warga tumpah ruah pelataran jam gadang kota bukit diguyur hujan deras menyurutkan antusiasme warga berdoa,in,"Pulo Gadung, Indonesia"
2023-11-02,1719963957254070646,anies insya allah doa orang aceh palestina diijabah,in,
2023-11-02,1719980726983205206,anies baswedan dijadwalkan solo sabtu hadiri deklarasi relawan haul habib ali,in,Indonesia
2023-11-02,1719868761665405158,anis matta anies rasyid baswedan jang berbini muda,in,🇲🇨❤🇵🇸
2023-11-02,1720017833177108587,anies ajak khatib jumat indonesia bacakan qunut nazilah palestina,in,
2023-11-02,1720091262559330422,semoga allah melindungi perlindungan kemudahan kemenangan anies rasyid baswedan amin,in,"Lampung, Indonesia"
2023-11-02,1719968206667046938,pasangan ganjar pranowo mahfud md anies rasyid baswedan abdul muhaimin iskandar prabowo subianto,in,
2023-11-02,1720090500580143293,rencananya imam salat maghrib binjai terhambat kno pendukung bersholawat asyghil alhamdulillah anies baswedan insyaallah presiden,in,"DKI Jakarta, Indonesia🇲🇨"
2023-11-02,1720156170114187270,kehadiran anies baswedan sumatra utara disambut meriah masyarakat merindukan perubahan,in,
2023-11-02,1720212796103917980,doa palestina amin allahuma amin bismillah sumbar amin total amin afdal anies,in,
2023-11-02,1719971863047340299,sikap anies abu abu kemanusiaan khotib jumat mendoakan kemerdekaan palestina bukittinggi,in,
2023-11-02,1720051568509346007,momen anies baswedan salat maghrib masjid agung kota binjai amin,in,Indonesia 
2023-11-02,1719912740243079652,anies baswedan minum kopi anak muda aceh lhokseumawe,in,Indonesia 
2023-11-02,1719903375628918936,seratus ribuan malam hujan puluhan ribu warga kota bukit sumbar kemerdekaan rakyat palestina diserukan palestina merdeka syarat anies baswedan,in,
2023-11-02,1720106134894498098,malam anies binjai sumatra utara masyarakat binjai menyambut anies,in,
2023-11-02,1720105847320363057,bahasan gdm 01 malam temanya skripsi job pemilihan,in,WonSeokHanTaroTonSungHee
2023-11-02,1720226490187759772,mewaspadai amien rais sindrom cak imin musuh pemilihan presiden ngeri ngeri,in,
2023-11-02,1720013247099904276,csis menghadirkan calon presiden anies baswedan calon presiden ganjar pranowo memahami pandangan rencana aksi diambil calon pemimpin negara tantangan kesempatan indonesia menavigasikan politik negerinya catat tanggalnya jumpa,in,Jakarta
2023-11-02,1719899638902247932,kunjungan asahan nasional demokrat sumatra utara bertekad sukseskan kehadiran anies baswedan,in,
2023-11-02,1719895560407134240,antusias ratusan ribu warga sumatra utara sambut anies baswedan,in,
2023-11-02,1719910293235794325,bersalaman istana anies keturunan yaman gagah ksatria membungkuk badan presiden jokowi keturunan jawa,in,
2023-11-02,1719923824970674195,siang anies baswedan bertemu tokoh masyarakat melayu besok minum kopi siantar,in,Indonesia
2023-11-02,1720207818542944357,mohon izin mas wali pemilihan presiden pilih jokowi eneg lihat jabatannya mas wali gabung prabowo keluarga golongan putih pemilihan presiden kali semoga anis menang biar jalan dibangun jokowi dibolongi anis,in,
2023-11-02,1720203457444078069,anies imin susah menang pemilihan presiden layak pemimpin,in,"East Borneo, Indonesia"
2023-11-02,1720040125747617915,sumbar anies baswedan kunjungi rumah kelahiran hatta,in,"Pulo Gadung, Indonesia"
2023-11-02,1719985771695018025,head to head simulasi diawali putaran anies baswedan abdul muhaimin iskandar alias cak imin prabowo subianto,in,Senayan Jakarta Selatan
2023-11-02,1720003831310983657,juru bicara duet anies baswedan muhaimin iskandar cak imin surya tjandra mengakui formasi tim nasional timnas pemenangan anies cak imin amin b,in,
2023-11-02,1720023947222323265,ketua dewan pimpinan pusat dasar pengenaan pajak partai kebangkitan bangsa partai kebangkitan bangsa yanuar prihatin keanggotaan tim nasional timnas pemenangan anies baswedan muhaimin iskandar alias cak imin amin diotak atik sumber,in,Jakarta - Indonesia
